custcode,evt,custname,ufcode,ufname,ufclass
4,-9999,Barren and Sparsely Vegetated,5,Barren/Other,Natural
3028,3028,Mediterranean California Mesic Mixed Conifer Forest and Woodland,8,Conifer Forest,Natural
3019,3019,Great Basin Pinyon-Juniper Woodland,1,Conifer Woodland,Natural
3027,3027,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,1,Conifer Woodland,Natural
3031,3031,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,1,Conifer Woodland,Natural
3034,3034,Mediterranean California Mesic Serpentine Woodland and Chaparral,1,Conifer Woodland,Natural
3114,3114,California Lower Montane Foothill Pine Woodland and Savanna,1,Conifer Woodland,Natural
9,-9999,Annual Cropland,1039,Irrigated Row and Field Crops,Agriculture
3963,3963,Western Cool Temperate Row Crop - Close Grown Crop,1039,Irrigated Row and Field Crops,Agriculture
3964,3964,Western Cool Temperate Row Crop,1039,Irrigated Row and Field Crops,Agriculture
3965,3965,Western Cool Temperate Close Grown Crop,1039,Irrigated Row and Field Crops,Agriculture
3968,3968,Western Cool Temperate Wheat,1039,Irrigated Row and Field Crops,Agriculture
3983,3983,Western Warm Temperate Row Crop - Close Grown Crop,1039,Irrigated Row and Field Crops,Agriculture
3984,3984,Western Warm Temperate Row Crop,1039,Irrigated Row and Field Crops,Agriculture
3985,3985,Western Warm Temperate Close Grown Crop,1039,Irrigated Row and Field Crops,Agriculture
3988,3988,Western Warm Temperate Wheat,1039,Irrigated Row and Field Crops,Agriculture
7,-9999,Orchard,1042,Deciduous Orchard,Agriculture
3960,3960,Western Cool Temperate Orchard,1042,Deciduous Orchard,Agriculture
3980,3980,Western Warm Temperate Orchard,1042,Deciduous Orchard,Agriculture
6,-9999,Developed,723,Developed Medium Intensity,Urban
12,-9999,Developed Roads,723,Developed Medium Intensity,Urban
13,-9999,Urban,723,Developed Medium Intensity,Urban
3920,3920,Western Cool Temperate Developed Ruderal Deciduous Forest,723,Developed Medium Intensity,Urban
3921,3921,Western Cool Temperate Developed Ruderal Evergreen Forest,723,Developed Medium Intensity,Urban
3922,3922,Western Cool Temperate Developed Ruderal Mixed Forest,723,Developed Medium Intensity,Urban
3923,3923,Western Cool Temperate Developed Ruderal Shrubland,723,Developed Medium Intensity,Urban
3924,3924,Western Cool Temperate Developed Ruderal Grassland,723,Developed Medium Intensity,Urban
3925,3925,Western Warm Temperate Developed Ruderal Deciduous Forest,723,Developed Medium Intensity,Urban
3927,3927,Western Warm Temperate Developed Ruderal Mixed Forest,723,Developed Medium Intensity,Urban
3928,3928,Western Warm Temperate Developed Ruderal Shrubland,723,Developed Medium Intensity,Urban
3929,3929,Western Warm Temperate Developed Ruderal Grassland,723,Developed Medium Intensity,Urban
3151,3151,California Central Valley Riparian Forest and Woodland,2,Hardwood Forest,Natural
3152,3152,California Montane Riparian Systems,2,Hardwood Forest,Natural
3154,3154,Inter-Mountain Basins Montane Riparian Forest and Woodland,2,Hardwood Forest,Natural
14,-9999,Riparian Restoration,11,Hardwood Woodland,Natural
15,-9999,Oak Conversion,11,Hardwood Woodland,Natural
3014,3014,Central and Southern California Mixed Evergreen Woodland,11,Hardwood Woodland,Natural
3029,3029,Mediterranean California Mixed Oak Woodland,11,Hardwood Woodland,Natural
3030,3030,Mediterranean California Lower Montane Conifer Forest and Woodland,11,Hardwood Woodland,Natural
3112,3112,California Central Valley Mixed Oak Savanna,11,Hardwood Woodland,Natural
3113,3113,California Coastal Live Oak Woodland and Savanna,11,Hardwood Woodland,Natural
3118,3118,Southern California Oak Woodland and Savanna,11,Hardwood Woodland,Natural
3255,3255,Inter-Mountain Basins Montane Riparian Shrubland,11,Hardwood Woodland,Natural
3264,3264,California Lower Montane Blue Oak Forest and Woodland,11,Hardwood Woodland,Natural
3265,3265,California Lower Montane Blue Oak-Foothill Pine Forest and Woodland,11,Hardwood Woodland,Natural
3945,3945,Western Warm Temperate Undeveloped Ruderal Deciduous Forest,11,Hardwood Woodland,Natural
2,-9999,Grassland,3,Herbaceous,Natural
3129,3129,California Central Valley and Southern Coastal Grassland,3,Herbaceous,Natural
3130,3130,California Mesic Serpentine Grassland,3,Herbaceous,Natural
3131,3131,California Northern Coastal Grassland,3,Herbaceous,Natural
3138,3138,North Pacific Montane Grassland,3,Herbaceous,Natural
3181,3181,Introduced Upland Vegetation-Annual Grassland,3,Herbaceous,Natural
3182,3182,Introduced Upland Vegetation-Perennial Grassland and Forbland,3,Herbaceous,Natural
3184,3184,California Annual Grassland,3,Herbaceous,Natural
3257,3257,California Central Valley Riparian Herbaceous,3,Herbaceous,Natural
3944,3944,Western Cool Temperate Undeveloped Ruderal Grassland,3,Herbaceous,Natural
3949,3949,Western Warm Temperate Undeveloped Ruderal Grassland,3,Herbaceous,Natural
3966,3966,Western Cool Temperate Fallow/Idle Cropland,3,Herbaceous,Natural
3967,3967,Western Cool Temperate Pasture and Hayland,3,Herbaceous,Natural
3986,3986,Western Warm Temperate Fallow/Idle Cropland,3,Herbaceous,Agriculture
3987,3987,Western Warm Temperate Pasture and Hayland,3,Herbaceous,Agriculture
11,-9999,Irrigated Pasture,1040,Irrigated Grain Crops,Agriculture
11,-9999,Irrigated Pasture,1034,Irrigated Hayfield,Agriculture
10,-9999,Rice,1052,Rice,Agriculture
3080,3080,Inter-Mountain Basins Big Sagebrush Shrubland,4,Shrub,Natural
3082,3082,Mojave Mid-Elevation Mixed Desert Scrub,4,Shrub,Natural
3087,3087,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,4,Shrub,Natural
3088,3088,Sonora-Mojave Mixed Salt Desert Scrub,4,Shrub,Natural
3092,3092,Southern California Coastal Scrub,4,Shrub,Natural
3097,3097,California Mesic Chaparral,4,Shrub,Natural
3098,3098,California Montane Woodland and Chaparral,4,Shrub,Natural
3099,3099,California Xeric Serpentine Chaparral,4,Shrub,Natural
3105,3105,Northern and Central California Dry-Mesic Chaparral,4,Shrub,Natural
3108,3108,Sonora-Mojave Semi-Desert Chaparral,4,Shrub,Natural
3110,3110,Southern California Dry-Mesic Chaparral,4,Shrub,Natural
3126,3126,Inter-Mountain Basins Montane Sagebrush Steppe,4,Shrub,Natural
3220,3220,Artemisia tridentata ssp. vaseyana Shrubland Alliance,4,Shrub,Natural
3948,3948,Western Warm Temperate Undeveloped Ruderal Shrubland,4,Shrub,Natural
3218,3218,Unnamed,-9999,Undefined,Undefined
3219,3219,Unnamed,-9999,Undefined,Undefined
3221,3221,Unnamed,-9999,Undefined,Undefined
8,-9999,Vineyard,1043,Vineyard,Agriculture
3961,3961,Western Cool Temperate Vineyard,1043,Vineyard,Agriculture
3981,3981,Western Warm Temperate Vineyard,1043,Vineyard,Agriculture
1,-9999,Water,9,Water,Natural
0,-9999,Wetlands,6,Wetland,Natural
3163,3163,Pacific Coastal Marsh Systems,6,Wetland,Natural
